종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
300950,2,KODEX 게임산업,13390,2,125,0.94,13388.0,0.5255,10445,138,107,국내 업종/테마,KODEX,False,False,False
108590,1,TREX 200,42815,2,265,0.62,42834.0,-2.416,30,1,107,국내 시장지수,TREX,False,False,False
152500,3,KINDEX 레버리지,10550,2,140,1.34,10569.0,-6.8433,12218,128,106,국내 파생,KINDEX,False,True,False
225030,4,TIGER 미국S&P500선물인버스(H),3690,5,-15,-0.4,,-7.8652,31780,117,105,해외 주식,TIGER,True,False,True
381570,2,HANARO Fn친환경에너지,10455,2,70,0.67,10460.0,5.7663,975,10,105,국내 업종/테마,HANARO,False,False,False
337120,2,KODEX Fn멀티팩터,14910,2,125,0.85,14899.0,-2.8348,1001,14,104,국내 업종/테마,KODEX,False,False,False
275290,2,KODEX MSCI밸류,13035,2,10,0.08,13046.0,-5.2345,19,0,104,국내 업종/테마,KODEX,False,False,False
145850,2,TREX 펀더멘탈 200,41600,2,295,0.71,41572.0,-4.4557,4,0,104,국내 업종/테마,TREX,False,False,False
375270,7,KBSTAR 글로벌데이터센터리츠나스닥(합성),12920,2,30,0.23,,13.0853,11093,143,103,기타,KBSTAR,False,False,False
342140,7,KINDEX 모닝스타싱가포르리츠채권혼합,10255,2,15,0.15,,4.006,162,1,103,기타,KINDEX,False,False,False
101280,4,KODEX 일본TOPIX100,17090,2,305,1.82,,6.6126,1237,20,103,해외 주식,KODEX,False,False,False
289250,2,TIGER MSCI KOREA ESG유니버설,12630,2,105,0.84,12629.0,-2.8088,658,8,102,국내 업종/테마,TIGER,False,False,False
253230,3,KOSEF 200선물인버스2X,1990,5,-30,-1.49,1991.0,5.5702,62062,123,102,국내 파생,KOSEF,True,False,False
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),14610,2,90,0.62,,-11.4278,49,0,102,해외 주식,TIGER,False,True,True
105780,2,KBSTAR 5대그룹주,8440,2,100,1.2,8465.0,-1.4019,3917,32,101,국내 업종/테마,KBSTAR,False,False,False
271060,5,KODEX 3대농산물선물(H),10530,2,10,0.1,,-11.2516,7198,75,101,원자재,KODEX,False,False,True
277640,2,TIGER 코스피대형주,15415,2,95,0.62,15466.0,-3.5659,2419,37,100,국내 업종/테마,TIGER,False,False,False
394350,4,KOSEF 릭소글로벌퓨처모빌리티MSCI,11000,5,-75,-0.68,,,33343,368,99,해외 주식,KOSEF,False,False,False
227830,1,ARIRANG 코스피,32970,2,315,0.96,32970.0,-0.0455,12839,422,99,국내 시장지수,ARIRANG,False,False,False
226380,2,KINDEX Fn성장소비주도주,8175,5,-20,-0.24,8173.0,-3.3688,907,7,98,국내 업종/테마,KINDEX,False,False,False
156080,1,KODEX MSCI Korea,19495,2,110,0.57,19608.0,-3.6809,55,1,97,국내 시장지수,KODEX,False,False,False
364690,1,KODEX 혁신기술테마액티브,13900,2,120,0.87,13966.0,-0.7143,1669,23,97,국내 시장지수,KODEX,False,False,False
272230,2,KINDEX 스마트밸류,16045,2,90,0.56,16046.0,-3.1684,21692,346,96,국내 업종/테마,KINDEX,False,False,False
322120,2,KINDEX 스마트퀄리티,19100,2,165,0.87,19091.0,-1.6478,40,0,96,국내 업종/테마,KINDEX,False,False,False
395150,2,KODEX Fn웹툰&드라마,9540,2,5,0.05,9551.0,,11142,106,95,국내 업종/테마,KODEX,False,False,False
266390,2,KODEX 경기소비재,13550,2,445,3.4,13540.0,0.482,16390,219,95,국내 업종/테마,KODEX,False,False,False
227550,2,TIGER 200 산업재,7290,5,-15,-0.21,7288.0,-5.8748,7074,51,95,국내 업종/테마,TIGER,False,False,False
205720,4,KINDEX 일본TOPIX인버스(합성 H),4225,5,-70,-1.63,,-3.5389,35597,150,93,해외 주식,KINDEX,True,False,True
167860,6,KOSEF 국고채10년레버리지,132595,5,-15,-0.01,132534.0,4.7933,1923,255,93,채권,KOSEF,False,True,False
322150,2,KINDEX 스마트하이베타,15445,2,120,0.78,15437.0,-2.5553,55,0,93,국내 업종/테마,KINDEX,False,False,False
137930,3,마이다스 200커버드콜5%OTM,15385,2,85,0.56,15391.0,-1.5045,2,0,92,국내 파생,마이다스,False,False,False
261120,7,TIGER 미국달러선물인버스2X,9220,2,60,0.66,9214.0,-7.7539,160,1,92,기타,TIGER,True,False,False
189400,4,ARIRANG 글로벌MSCI(합성 H),18000,5,-65,-0.36,,3.7763,1165,21,92,해외 주식,ARIRANG,False,False,True
380340,2,KINDEX Fn5G플러스,9135,2,115,1.27,9126.0,0.4398,19125,173,91,국내 업종/테마,KINDEX,False,False,False
277650,2,TIGER 코스피중형주,18170,2,20,0.11,18209.0,0.5255,36783,668,91,국내 업종/테마,TIGER,False,False,False
226980,1,KODEX 200 중소형,15130,2,30,0.2,15127.0,0.0661,1670,25,91,국내 시장지수,KODEX,False,False,False
251890,1,KINDEX 코스닥(합성),15110,2,75,0.5,15118.0,6.0723,21,0,91,국내 시장지수,KINDEX,False,False,False
397410,6,KBSTAR 국채선물5년추종인버스,50100,2,25,0.05,50091.0,,6,0,90,채권,KBSTAR,True,False,False
131890,2,KINDEX 삼성그룹동일가중,18020,2,120,0.67,18003.0,1.4068,177,3,90,국내 업종/테마,KINDEX,False,False,False
261060,2,TIGER 코스닥150IT,16570,2,65,0.39,16616.0,-0.2409,3192,52,89,국내 업종/테마,TIGER,False,False,False
272220,2,KINDEX 스마트모멘텀,17895,2,125,0.7,17888.0,-2.7974,10706,191,89,국내 업종/테마,KINDEX,False,False,False
183710,7,KBSTAR 주식혼합,44610,2,225,0.51,44669.0,-1.751,1,0,89,기타,KBSTAR,False,False,False
307510,2,TIGER 의료기기,22210,5,-50,-0.22,22309.0,18.8654,3967,88,89,국내 업종/테마,TIGER,False,False,False
159800,1,마이티 코스피100,31725,3,0,0.0,31922.0,-3.8345,0,0,89,국내 시장지수,마이티,False,False,False
291630,3,KOSEF 코스닥150선물레버리지,7280,2,95,1.32,7271.0,18.4703,2024,14,88,국내 파생,KOSEF,False,True,False
322130,2,KINDEX 스마트로우볼,17470,2,70,0.4,17472.0,-2.5927,25966,453,87,국내 업종/테마,KINDEX,False,False,False
104530,2,KOSEF 고배당,9685,5,-40,-0.41,9671.0,6.7805,3249,31,87,국내 업종/테마,KOSEF,False,False,False
394340,4,KOSEF 릭소글로벌디지털경제MSCI,10715,5,-25,-0.23,,,859,9,86,해외 주식,KOSEF,False,False,False
261140,2,TIGER 우선주,14095,2,225,1.62,14093.0,-6.0021,2003,28,85,국내 업종/테마,TIGER,False,False,False
291130,4,KINDEX 멕시코MSCI(합성),10500,5,-90,-0.85,,8.3591,668,7,84,해외 주식,KINDEX,False,False,False
333970,2,ARIRANG KS밸류가중TR,16670,2,125,0.76,16663.0,-2.4005,429,7,83,국내 업종/테마,ARIRANG,False,False,False
275280,2,KODEX MSCI모멘텀,13850,2,110,0.8,13888.0,-0.288,46,0,83,국내 업종/테마,KODEX,False,False,False
292560,7,TIGER 일본엔선물,10350,5,-35,-0.34,10380.0,3.4482,156,1,83,기타,TIGER,False,False,False
315270,2,TIGER 200커뮤니케이션서비스,34140,2,165,0.49,34238.0,2.9553,856,29,82,국내 업종/테마,TIGER,False,False,False
256450,4,ARIRANG 심천차이넥스트(합성),13590,5,-200,-1.45,,-1.2355,3308,45,82,해외 주식,ARIRANG,False,False,False
379790,4,KBSTAR 유로스탁스50(H),10825,2,45,0.42,,3.6381,12173,131,81,해외 주식,KBSTAR,False,False,True
234310,2,KBSTAR V&S셀렉트밸류,16225,2,80,0.5,16245.0,-0.4296,6,0,81,국내 업종/테마,KBSTAR,False,False,False
228820,1,TIGER KTOP30,11575,2,115,1.0,11583.0,1.0034,2079,24,81,국내 시장지수,TIGER,False,False,False
305050,1,KINDEX 코스피,32300,2,230,0.72,32281.0,-1.6743,110,3,81,국내 시장지수,KINDEX,False,False,False
174350,2,TIGER 로우볼,12580,5,-25,-0.2,12578.0,-0.5927,206,2,81,국내 업종/테마,TIGER,False,False,False
354240,7,KBSTAR 미국고정배당우선증권ICE TR,10705,2,60,0.56,,5.416,968,10,80,기타,KBSTAR,False,False,False
368470,2,KINDEX Fn K-뉴딜디지털플러스,16035,2,75,0.47,16038.0,6.3328,20,0,80,국내 업종/테마,KINDEX,False,False,False
319870,2,KBSTAR KRX300미국달러선물혼합,16005,3,0,0.0,16020.0,1.1374,47,0,80,국내 업종/테마,KBSTAR,False,False,False
289670,6,ARIRANG 국채선물10년,57025,5,-25,-0.04,57020.0,2.3053,1,0,80,채권,ARIRANG,False,False,False
395170,2,KODEX Fn Top10동일가중,9970,2,95,0.96,9978.0,,184089,1829,80,국내 업종/테마,KODEX,False,False,False
138920,5,KODEX 콩선물(H),11370,2,55,0.49,,-13.3385,1926,21,80,원자재,KODEX,False,False,True
252650,1,KODEX 200동일가중,13125,2,30,0.23,13118.0,-1.6486,173,2,79,국내 시장지수,KODEX,False,False,False
244660,2,KODEX 퀄리티Plus,11235,2,50,0.45,11262.0,-5.0698,170,1,79,국내 업종/테마,KODEX,False,False,False
371150,4,KBSTAR 차이나항셍테크,8670,5,-95,-1.08,,-15.0833,33507,292,78,해외 주식,KBSTAR,False,False,False
166400,3,TIGER 200커버드콜5%OTM,15500,3,0,0.0,15594.0,-2.2942,0,0,78,국내 파생,TIGER,False,False,False
105010,4,TIGER 라틴35,3670,5,-35,-0.94,,-2.3937,6417,23,77,해외 주식,TIGER,False,False,False
395270,2,HANARO Fn K-반도체,9600,2,155,1.64,9604.0,,19655,187,77,국내 업종/테마,HANARO,False,False,False
139320,5,TIGER 금은선물(H),9590,5,-5,-0.05,,-5.9343,2000,19,77,원자재,TIGER,False,False,True
252730,2,KBSTAR 모멘텀로우볼,17025,2,220,1.31,17014.0,1.7632,17,0,77,국내 업종/테마,KBSTAR,False,False,False
306530,3,HANARO 코스닥150선물레버리지,14680,2,165,1.14,14670.0,18.5304,739,10,76,국내 파생,HANARO,False,True,False
391670,1,HK 베스트일레븐액티브,10160,2,110,1.09,10203.0,,4793,48,76,국내 시장지수,HK,False,False,False
397420,6,KBSTAR 국채선물5년추종,49930,5,-30,-0.06,49909.0,,9,0,75,채권,KBSTAR,False,False,False
300610,2,TIGER K게임,13600,2,195,1.45,13662.0,4.0152,6955,94,75,국내 업종/테마,TIGER,False,False,False
333960,2,ARIRANG KS모멘텀가중TR,16615,2,235,1.43,16614.0,-0.8948,23,0,75,국내 업종/테마,ARIRANG,False,False,False
395290,2,HANARO Fn K-POP&미디어,9335,5,-40,-0.43,9349.0,,10936,102,75,국내 업종/테마,HANARO,False,False,False
250730,4,KBSTAR 차이나HSCEI(H),10660,5,-5,-0.05,,-14.1016,12156,130,75,해외 주식,KBSTAR,False,False,True
271050,5,KODEX WTI원유선물인버스(H),8505,5,-180,-2.07,,-4.7059,45515,388,74,원자재,KODEX,True,False,True
307520,2,TIGER 지주회사,12220,2,65,0.53,12219.0,-6.3961,2211,27,73,국내 업종/테마,TIGER,False,False,False
373490,2,KODEX K-이노베이션액티브,11235,2,55,0.49,11297.0,-1.5338,1100,12,73,국내 업종/테마,KODEX,False,False,False
298340,6,ARIRANG 국채선물3년,53620,3,0,0.0,53568.0,0.1027,0,0,73,채권,ARIRANG,False,False,False
391680,1,HK 하이볼액티브,9640,2,125,1.31,9654.0,,1288,12,72,국내 시장지수,HK,False,False,False
373790,4,KOSEF 미국방어배당성장나스닥,12025,2,45,0.38,,9.7672,2818,33,72,해외 주식,KOSEF,False,False,False
117690,4,TIGER 차이나항셍25,16030,5,-105,-0.65,,-7.7941,1176,18,72,해외 주식,TIGER,False,False,False
253280,2,KBSTAR 헬스케어,17915,2,95,0.53,17928.0,14.0356,2129,38,72,국내 업종/테마,KBSTAR,False,False,False
139290,2,TIGER 200 경기소비재,18785,2,170,0.91,18801.0,-5.9575,1010,18,71,국내 업종/테마,TIGER,False,False,False
395280,2,HANARO Fn K-게임,8875,5,-10,-0.11,8879.0,,622,5,71,국내 업종/테마,HANARO,False,False,False
314700,2,HANARO 농업융복합산업,12865,2,85,0.67,12860.0,-2.9423,581,7,71,국내 업종/테마,HANARO,False,False,False
237440,7,TIGER 경기방어채권혼합,10105,5,-15,-0.15,10097.0,0.099,2069,20,71,기타,TIGER,False,False,False
302170,6,TIGER 국채선물3년인버스,49765,3,0,0.0,49818.0,-0.0703,0,0,70,채권,TIGER,True,False,False
281990,2,KBSTAR 중소형고배당,12645,5,-5,-0.04,12643.0,0.198,7105,89,70,국내 업종/테마,KBSTAR,False,False,False
346000,6,HANARO KAP초장기국고채,47690,2,10,0.02,47676.0,5.125,20135,959,69,채권,HANARO,False,False,False
238670,7,ARIRANG 스마트베타Quality채권혼합,11390,2,35,0.31,11403.0,-0.6109,75,0,68,기타,ARIRANG,False,False,False
261110,7,TIGER 미국달러선물레버리지,9740,5,-75,-0.76,9755.0,7.4462,1097,10,68,기타,TIGER,False,True,False
289480,2,TIGER 200커버드콜ATM,11350,3,0,0.0,11417.0,0.8837,0,0,68,국내 업종/테마,TIGER,False,False,False
213610,2,KODEX 삼성그룹밸류,9695,2,35,0.36,9731.0,-0.0516,6633,64,68,국내 업종/테마,KODEX,False,False,False
192720,2,파워 고배당저변동성,31955,2,30,0.09,31994.0,-1.0682,70,2,67,국내 업종/테마,파워,False,False,False
301440,2,ARIRANG 코스피중형주,13360,2,20,0.15,13355.0,0.4133,238,3,67,국내 업종/테마,ARIRANG,False,False,False
269370,4,TIGER S&P글로벌인프라(합성),11070,2,55,0.5,,4.9687,1155,12,66,해외 주식,TIGER,False,False,False
147970,2,TIGER 모멘텀,25445,2,190,0.75,25437.0,-1.0693,90,2,66,국내 업종/테마,TIGER,False,False,False
376250,2,ARIRANG 탄소효율그린뉴딜,10130,2,100,1.0,10153.0,-1.7936,1647,16,66,국내 업종/테마,ARIRANG,False,False,False
195970,4,ARIRANG 선진국MSCI(합성 H),12640,2,180,1.44,,1.8943,15120,190,66,해외 주식,ARIRANG,False,False,True
140570,2,KBSTAR 수출주,13045,2,135,1.05,13036.0,-4.4323,66,0,65,국내 업종/테마,KBSTAR,False,False,False
292340,2,마이티 200커버드콜ATM레버리지,10865,3,0,0.0,10980.0,1.5291,0,0,65,국내 업종/테마,마이티,False,True,False
373530,4,ARIRANG 신흥국MSCI인버스(합성 H),9000,5,-35,-0.39,,3.5673,558,5,65,해외 주식,ARIRANG,True,False,True
315480,2,KBSTAR 200커뮤니케이션서비스,21220,2,25,0.12,21246.0,3.0847,63,1,64,국내 업종/테마,KBSTAR,False,False,False
333940,2,ARIRANG KS로우볼가중TR,14095,2,115,0.82,14092.0,-2.5579,18142,254,63,국내 업종/테마,ARIRANG,False,False,False
333950,2,ARIRANG KS로우사이즈가중TR,17870,2,150,0.85,17867.0,-0.5289,20,0,63,국내 업종/테마,ARIRANG,False,False,False
342600,6,KBSTAR KRX국채선물3년10년스티프너2X,51820,5,-45,-0.09,51817.0,-1.5578,6,0,62,채권,KBSTAR,False,False,False
261260,7,KODEX 미국달러선물인버스2X,9275,2,70,0.76,9260.0,-7.4813,20360,188,62,기타,KODEX,True,False,False
098560,2,TIGER 방송통신,10345,2,70,0.68,10345.0,1.6707,9461,97,62,국내 업종/테마,TIGER,False,False,False
342500,6,KBSTAR KRX국채선물3년10년스티프너,51220,5,-25,-0.05,51212.0,-0.6402,6,0,61,채권,KBSTAR,False,False,False
145670,3,KINDEX 인버스,4710,5,-20,-0.42,4700.0,3.0634,9970,46,61,국내 파생,KINDEX,True,False,False
215620,2,HK S&P코리아로우볼,12715,2,5,0.04,12711.0,-1.3577,119,1,61,국내 업종/테마,HK,False,False,False
176710,6,파워 중기국고채,100365,5,-45,-0.04,100403.0,0.0747,2,0,60,채권,파워,False,False,False
342610,6,KBSTAR KRX국채선물3년10년플래트너,49825,2,25,0.05,49807.0,0.8603,6,0,60,채권,KBSTAR,False,False,False
269530,4,ARIRANG S&P글로벌인프라,11900,2,55,0.46,,4.892,4478,53,60,해외 주식,ARIRANG,False,False,False
267440,4,KBSTAR 미국장기국채선물(H),11815,5,-20,-0.17,,5.491,227,2,59,해외 주식,KBSTAR,False,False,True
290080,2,KBSTAR 200고배당커버드콜ATM,8415,5,-55,-0.65,8433.0,2.4969,81,0,59,국내 업종/테마,KBSTAR,False,False,False
342620,6,KBSTAR KRX국채선물3년10년플래트너2X,48995,2,20,0.04,48985.0,1.3025,6,0,59,채권,KBSTAR,False,False,False
304670,4,KODEX 미국채울트라30년선물인버스(H),7210,5,-20,-0.28,,-8.2114,6076,43,58,해외 주식,KODEX,True,False,True
302180,6,TIGER 국채선물10년인버스,47815,3,0,0.0,47848.0,-2.3282,0,0,57,채권,TIGER,True,False,False
217790,2,TIGER 가격조정,25940,2,150,0.58,25929.0,-1.4251,60,1,57,국내 업종/테마,TIGER,False,False,False
275300,2,KODEX MSCI퀄리티,11265,2,25,0.22,11265.0,5.725,18936,212,56,국내 업종/테마,KODEX,False,False,False
220130,4,SOL 중국본토 중소형 CSI500(합성 H),6205,5,-20,-0.32,,8.7642,3213,20,56,해외 주식,SOL,False,False,True
261920,4,KINDEX 필리핀MSCI(합성),13850,2,165,1.21,,2.7448,5533,76,55,해외 주식,KINDEX,False,False,False
321410,7,KODEX 멀티에셋하이인컴(H),11070,5,-5,-0.05,,2.9767,401,4,55,기타,KODEX,False,False,True
334690,5,KBSTAR 팔라듐선물(H),13790,5,-135,-0.97,,-16.2975,16295,223,55,원자재,KBSTAR,False,False,True
291680,4,KBSTAR 차이나H선물인버스(H),10560,5,-30,-0.28,,12.7001,79,0,53,해외 주식,KBSTAR,True,False,True
261270,7,KODEX 미국달러선물인버스,9900,2,35,0.35,9893.0,-3.6965,2688,26,52,기타,KODEX,True,False,False
371870,4,KINDEX 차이나항셍테크,8555,5,-120,-1.38,,-15.0869,1936,16,51,해외 주식,KINDEX,False,False,False
309210,2,ARIRANG KRX300헬스케어,14130,2,55,0.39,14202.0,8.6087,3672,51,51,국내 업종/테마,ARIRANG,False,False,False
292770,6,KODEX 국채선물3년인버스,49695,3,0,0.0,49751.0,-0.0804,0,0,51,채권,KODEX,True,False,False
157500,2,TIGER 증권,4925,5,-35,-0.71,4934.0,-4.276,22942,113,50,국내 업종/테마,TIGER,False,False,False
285010,2,KBSTAR 200중공업,10850,2,45,0.42,10851.0,-10.3306,1421,15,50,국내 업종/테마,KBSTAR,False,False,False
299080,6,KINDEX 국채선물3년인버스,99455,2,40,0.04,99515.0,0.0,1,0,50,채권,KINDEX,True,False,False
280920,2,ARIRANG 주도업종,12415,2,260,2.14,12413.0,3.8477,65,0,50,국내 업종/테마,ARIRANG,False,False,False
301410,3,ARIRANG 코스닥150선물인버스,6610,5,-40,-0.6,6600.0,-9.0159,7858,51,50,국내 파생,ARIRANG,True,False,False
139310,5,TIGER 금속선물(H),7045,2,40,0.57,,-0.2125,3390,23,49,원자재,TIGER,False,False,True
295820,1,ARIRANG 200동일가중,12050,2,100,0.84,12048.0,-1.5523,51,0,48,국내 시장지수,ARIRANG,False,False,False
299070,6,KINDEX 국채선물10년인버스,94410,2,75,0.08,94421.0,-2.2115,1,0,47,채권,KINDEX,True,False,False
275750,1,KBSTAR 코스닥150선물인버스,4395,5,-20,-0.45,4397.0,-9.288,6460,28,46,국내 시장지수,KBSTAR,True,False,False
287300,2,KBSTAR 200건설,13405,2,65,0.49,13439.0,0.2617,1066,14,46,국내 업종/테마,KBSTAR,False,False,False
266550,2,ARIRANG 중형주저변동50,12390,5,-30,-0.24,12385.0,0.2021,20,0,43,국내 업종/테마,ARIRANG,False,False,False
280940,4,KODEX 골드선물인버스(H),7200,2,10,0.14,,4.5751,737,5,43,해외 주식,KODEX,True,False,True
267490,4,KBSTAR 미국장기국채선물레버리지(합성 H),13945,5,-105,-0.75,,15.8703,512,7,42,해외 주식,KBSTAR,False,True,True
333980,2,ARIRANG KS퀄리티가중TR,16425,2,180,1.11,16421.0,1.4828,15155,247,41,국내 업종/테마,ARIRANG,False,False,False
227560,2,TIGER 200 생활소비재,11385,5,-50,-0.44,11407.0,-7.5143,3474,39,41,국내 업종/테마,TIGER,False,False,False
253240,3,KOSEF 200선물인버스,4970,5,-25,-0.5,4967.0,2.7921,5396,26,41,국내 파생,KOSEF,True,False,False
291620,3,KOSEF 코스닥150선물인버스,7570,5,-50,-0.66,7570.0,-9.1782,3743,28,40,국내 파생,KOSEF,True,False,False
295020,6,KBSTAR 국채선물10년인버스,47115,2,10,0.02,47108.0,-2.4131,6,0,40,채권,KBSTAR,True,False,False
278420,2,ARIRANG ESG우수기업,9865,2,40,0.41,9867.0,-1.2019,387,3,39,국내 업종/테마,ARIRANG,False,False,False
267450,4,KBSTAR 미국장기국채선물인버스(H),7830,3,0,0.0,,-5.946,147,1,39,해외 주식,KBSTAR,True,False,True
140580,2,KBSTAR 우량업종,12860,2,90,0.7,12857.0,-5.0923,213,2,39,국내 업종/테마,KBSTAR,False,False,False
217770,4,TIGER 원유선물인버스(H),5920,5,-135,-2.23,,-5.4314,11563,68,38,해외 주식,TIGER,True,False,True
284980,2,KBSTAR 200금융,9030,5,-20,-0.22,9055.0,-4.5959,1364,12,34,국내 업종/테마,KBSTAR,False,False,False
211260,2,KINDEX 배당성장,40600,5,-105,-0.26,40537.0,2.267,10,0,32,국내 업종/테마,KINDEX,False,False,False
284990,2,KBSTAR 200에너지화학,13420,2,95,0.71,13440.0,-3.0347,199,2,32,국내 업종/테마,KBSTAR,False,False,False
291890,4,KODEX MSCI EM선물(H),10540,3,0,0.0,,-5.1732,384,4,32,해외 주식,KODEX,False,False,True
267500,4,KBSTAR 미국장기국채선물인버스2X(합성 H),5730,2,25,0.44,,-14.6051,2755,15,32,해외 주식,KBSTAR,True,False,True
301400,1,ARIRANG 코스닥150,15160,2,85,0.56,15311.0,8.1312,297,4,30,국내 시장지수,ARIRANG,False,False,False
252720,2,KBSTAR 모멘텀밸류,15030,2,195,1.31,15032.0,-3.808,26,0,30,국내 업종/테마,KBSTAR,False,False,False
285020,2,KBSTAR 200철강소재,9765,2,10,0.1,9781.0,-1.0137,3483,34,29,국내 업종/테마,KBSTAR,False,False,False
295000,6,KBSTAR 국채선물10년,56120,5,-20,-0.04,56093.0,2.4648,371,20,26,채권,KBSTAR,False,False,False
287330,2,KBSTAR 200생활소비재,8710,5,-15,-0.17,8700.0,-7.2418,288,2,21,국내 업종/테마,KBSTAR,False,False,False
334700,5,KBSTAR 팔라듐선물인버스(H),4810,2,35,0.73,,12.252,115,0,19,원자재,KBSTAR,True,False,True
287310,2,KBSTAR 200경기소비재,11650,2,120,1.04,11648.0,-5.8206,656,7,16,국내 업종/테마,KBSTAR,False,False,False
287320,2,KBSTAR 200산업재,13015,5,-65,-0.5,13005.0,-6.0967,166,2,16,국내 업종/테마,KBSTAR,False,False,False
