종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,종목명_전처리,종목코드,level_0,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률l2020.12,동일업종 PER,동일업종 등락률,배당수익률,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.03),PBRlBPS (2021.03),PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
한국파마 *,78100.0,8600.0,+12.37%,78100.0,78200.0,3588899.0,279786.0,688406.0,한국파마,032300,0,"8,518  억원",코스닥 87위,10906701,500원  l  1주,10906701,37722,0.35%,N/A  l  N/A,"94,800  l  20,000",169.41배  l  461원,N/A  l  N/A,"17.16배  l  4,551원",0.06%,107.03배,+0.01%,,,,,,,,,,
삼아제약 *,23050.0,1550.0,+7.21%,23000.0,23050.0,226300.0,5151.0,219443.0,삼아제약,009300,1,"1,468  억원",코스닥 707위,6370000,"1,000원  l  1주",6370000,77432,1.22%,N/A  l  N/A,"23,000  l  14,300",N/A  l  -175원,N/A  l  N/A,"0.84배  l  27,352원",1.30%,107.03배,+0.01%,,,,,,,,,,
코스맥스엔비티 *,9210.0,580.0,+6.72%,9200.0,9210.0,191697.0,1733.0,127164.0,코스맥스엔비티,222040,2,"1,900  억원",코스닥 569위,20628000,500원  l  1주,20628000,300027,1.45%,"4.00매수  l  14,950","12,900  l  7,000",N/A  l  -449원,N/A  l  N/A,"3.33배  l  2,769원",,107.03배,+0.01%,,,,,,,,,,
지엘팜텍 *,1455.0,85.0,+6.20%,1450.0,1455.0,6712248.0,9666.0,12967049.0,지엘팜텍,204840,3,755  억원,코스닥 1169위,51886844,100원  l  1주,51886844,577674,1.11%,N/A  l  N/A,"2,390  l  855",N/A  l  -67원,N/A  l  N/A,5.33배  l  273원,,107.03배,+0.01%,,,,,,,,,,
이수앱지스 *,16350.0,950.0,+6.17%,16350.0,16400.0,1619361.0,25924.0,492397.0,이수앱지스,086890,4,"5,425  억원",코스닥 164위,33182668,500원  l  1주,33182668,102147,0.31%,N/A  l  N/A,"25,000  l  6,660",N/A  l  -548원,N/A  l  N/A,"8.19배  l  1,997원",,107.03배,+0.01%,,,,,,,,,,
코오롱생명과학 *,37750.0,2150.0,+6.04%,37700.0,37750.0,272702.0,10243.0,425217.0,코오롱생명과학,102940,5,"4,308  억원",코스닥 228위,11412356,500원  l  1주,11412356,267490,2.34%,N/A  l  N/A,"39,100  l  17,850","N/A  l  -2,515원",N/A  l  N/A,"6.70배  l  5,636원",,107.03배,+0.01%,,,,,,,,,,
지트리비앤티 *,10650.0,600.0,+5.97%,10600.0,10650.0,773178.0,8178.0,274290.0,지트리비앤티,115450,6,"2,885  억원",코스닥 359위,27088019,500원  l  1주,27088019,1288913,4.76%,N/A  l  N/A,"33,550  l  9,520",N/A  l  -667원,N/A  l  N/A,"3.46배  l  3,074원",,107.03배,+0.01%,,,,,,,,,,
하이텍팜 *,19000.0,900.0,+4.97%,19000.0,19050.0,78680.0,1473.0,25495.0,하이텍팜,106190,7,"1,347  억원",코스닥 773위,7088782,500원  l  1주,7088782,3142955,44.34%,N/A  l  N/A,"29,450  l  11,250",N/A  l  -52원,N/A  l  N/A,"1.42배  l  13,393원",0.26%,107.03배,+0.01%,,,,,,,,,,
한국유니온제약 *,13050.0,550.0,+4.40%,13000.0,13050.0,78448.0,1011.0,63929.0,한국유니온제약,080720,8,"1,031  억원",코스닥 965위,7903728,500원  l  1주,7903728,157300,1.99%,N/A  l  N/A,"25,500  l  11,300","N/A  l  -1,234원",N/A  l  N/A,"1.68배  l  7,754원",,107.03배,+0.01%,,,,,,,,,,
JW중외제약2우B,59800.0,2400.0,+4.18%,59000.0,59800.0,1254.0,74.0,3388.0,JW중외제약2우B,001067,9,56  억원,코스피 1584위,93028,"2,500원  l  1주",93028,494,0.53%,N/A  l  N/A,"135,110  l  50,155",N/A  l  -146원,N/A  l  N/A,"6.73배  l  8,886원",0.54%,107.03배,+0.01%,,,,,,,,,,
에이비온 *,16500.0,650.0,+4.10%,16450.0,16500.0,823140.0,13661.0,672058.0,에이비온,203400,10,"2,516  억원",코스닥 415위,15249795,500원  l  1주,15249795,78319,0.51%,N/A  l  N/A,"22,400  l  5,070",,N/A  l  N/A,,,107.03배,+0.01%,,N/A  l  -756원,"N/A  l  -4,980원",,,,,,,
팜스빌 *,17750.0,500.0,+2.90%,17700.0,17750.0,3772153.0,69235.0,6593366.0,팜스빌,318010,11,"1,407  억원",코스닥 743위,7929338,500원  l  1주,7929338,16005,0.20%,N/A  l  N/A,"17,250  l  9,500",48.90배  l  363원,N/A  l  N/A,"2.44배  l  7,262원",0.56%,107.03배,+0.01%,,,,,,,,,,
동화약품,15150.0,400.0,+2.71%,15150.0,15200.0,196509.0,2956.0,320122.0,동화약품,000020,12,"4,232  억원",코스피 406위,27931470,"1,000원  l  1주",27931470,946088,3.39%,N/A  l  N/A,"29,600  l  13,400","13.55배  l  1,118원",N/A  l  N/A,"1.23배  l  12,272원",1.19%,107.03배,+0.01%,,,,,,,,,,
신신제약 *,8420.0,220.0,+2.68%,8410.0,8420.0,350371.0,2966.0,79612.0,신신제약,002800,13,"1,277  억원",코스닥 812위,15170500,500원  l  1주,15170500,307692,2.03%,N/A  l  N/A,"13,050  l  7,090",N/A  l  -32원,N/A  l  N/A,"2.32배  l  3,629원",,107.03배,+0.01%,,,,,,,,,,
한독,26950.0,700.0,+2.67%,26900.0,26950.0,41949.0,1117.0,44509.0,한독,002390,14,"3,709  억원",코스피 444위,13763533,500원  l  1주,13763533,381932,2.77%,"4.00매수  l  45,000","39,000  l  24,100","11.79배  l  2,286원",N/A  l  N/A,"0.93배  l  29,120원",1.11%,107.03배,+0.01%,,,,,,,,,,
테라젠이텍스 *,7490.0,190.0,+2.60%,7480.0,7490.0,94010.0,695.0,123823.0,테라젠이텍스,066700,15,"2,432  억원",코스닥 438위,32474435,500원  l  1주,32474435,515944,1.59%,N/A  l  N/A,"14,550  l  7,090",N/A  l  -184원,N/A  l  N/A,"0.93배  l  8,032원",,107.03배,+0.01%,,,,,,,,,,
동아쏘시오홀딩스,120500.0,3000.0,+2.55%,120500.0,121000.0,26172.0,3130.0,11615.0,동아쏘시오홀딩스,000640,16,"7,649  억원",코스피 289위,6347506,"5,000원  l  1주",6347506,772306,12.17%,"4.00매수  l  160,000","157,500  l  99,500","4.52배  l  26,636원",N/A  l  N/A,"0.82배  l  147,443원",0.83%,107.03배,+0.01%,,,,,,,,,,
신풍제약우,94200.0,2200.0,+2.39%,94100.0,94200.0,78746.0,7585.0,38847.0,신풍제약우,019175,17,"2,072  억원",코스피 629위,2200000,500원  l  1주,2200000,9422,0.43%,N/A  l  N/A,"253,000  l  62,200","1,570.00배  l  60원",N/A  l  N/A,"13.18배  l  7,145원",0.12%,107.03배,+0.01%,,,,,,,,,,
위더스제약 *,13950.0,300.0,+2.20%,13900.0,13950.0,84930.0,1179.0,154104.0,위더스제약,330350,18,"1,840  억원",코스닥 581위,13188622,200원  l  1주,13188622,78337,0.59%,N/A  l  N/A,"18,933  l  11,433",48.78배  l  286원,N/A  l  N/A,"2.34배  l  5,954원",0.23%,107.03배,+0.01%,,,,,,,,,,
에이치엘비생명과학 *,22400.0,450.0,+2.05%,22350.0,22400.0,5249129.0,117428.0,7042982.0,에이치엘비생명과학,067630,19,"2조  1,097  억원",코스닥 19위,94180906,500원  l  1주,94180906,6398323,6.79%,N/A  l  N/A,"23,000  l  7,249",N/A  l  -680원,N/A  l  N/A,"8.27배  l  2,707원",,107.03배,+0.01%,,,,,,,,,,
대성미생물 *,18200.0,350.0,+1.96%,18050.0,18200.0,17870.0,318.0,9657.0,대성미생물,036480,20,692  억원,코스닥 1230위,3800000,500원  l  1주,3800000,66834,1.76%,N/A  l  N/A,"27,250  l  14,700",206.82배  l  88원,N/A  l  N/A,"1.90배  l  9,588원",0.47%,107.03배,+0.01%,,,,,,,,,,
녹십자웰빙 *,10500.0,200.0,+1.94%,10400.0,10500.0,25920.0,270.0,65033.0,녹십자웰빙,234690,21,"1,864  억원",코스닥 579위,17752276,500원  l  1주,17752276,231696,1.31%,N/A  l  N/A,"18,850  l  9,740",66.46배  l  158원,N/A  l  N/A,"2.18배  l  4,813원",0.48%,107.03배,+0.01%,,,,,,,,,,
제일파마홀딩스,19200.0,350.0,+1.86%,19100.0,19200.0,7674.0,144.0,25613.0,제일파마홀딩스,002620,22,"3,067  억원",코스피 494위,15973355,500원  l  1주,15973355,1527439,9.56%,N/A  l  N/A,"33,000  l  17,150",42.95배  l  447원,N/A  l  N/A,"0.72배  l  26,847원",0.37%,107.03배,+0.01%,,,,,,,,,,
신풍제약,67800.0,1200.0,+1.80%,67700.0,67800.0,1611083.0,110840.0,951661.0,신풍제약,019170,23,"3조  5,924  억원",코스피 97위,52984990,500원  l  1주,52984990,4379701,8.27%,N/A  l  N/A,"214,000  l  59,500","1,130.00배  l  60원",N/A  l  N/A,"9.49배  l  7,145원",0.15%,107.03배,+0.01%,,,,,,,,,,
씨티씨바이오 *,12600.0,200.0,+1.61%,12550.0,12600.0,205987.0,2567.0,156066.0,씨티씨바이오,060590,24,"2,857  억원",코스닥 361위,22674323,500원  l  1주,22674323,834284,3.68%,N/A  l  N/A,"14,500  l  5,680",N/A  l  -204원,N/A  l  N/A,"3.35배  l  3,761원",,107.03배,+0.01%,,,,,,,,,,
큐라클 *,39900.0,600.0,+1.53%,39900.0,40000.0,440589.0,17678.0,367287.0,큐라클,365270,25,"5,329  억원",코스닥 169위,13355968,500원  l  1주,13355968,38302,0.29%,N/A  l  N/A,"62,400  l  28,500",,N/A  l  N/A,,,107.03배,+0.01%,,"N/A  l  -2,624원",47.39배  l  842원,,,,,,,
바이온 *,1505.0,20.0,+1.35%,1505.0,1510.0,627294.0,938.0,804933.0,바이온,032980,26,"1,007  억원",코스닥 982위,66900777,500원  l  1주,66900777,2046829,3.06%,N/A  l  N/A,"2,475  l  1,100",N/A  l  -69원,N/A  l  N/A,2.33배  l  647원,,107.03배,+0.01%,,,,,,,,,,
제일바이오 *,3830.0,50.0,+1.32%,3830.0,3835.0,490977.0,1856.0,471464.0,제일바이오,052670,27,"1,116  억원",코스닥 903위,29129064,500원  l  1주,29129064,798003,2.74%,N/A  l  N/A,"4,721  l  3,062",63.83배  l  60원,N/A  l  N/A,"2.71배  l  1,414원",,107.03배,+0.01%,,,,,,,,,,
삼성바이오로직스,925000.0,12000.0,+1.31%,924000.0,925000.0,59416.0,55010.0,103517.0,삼성바이오로직스,207940,28,"61조  2,026  억원",코스피 4위,66165000,"2,500원  l  1주",66165000,6978755,10.55%,"4.00매수  l  1,060,000","1,047,000  l  624,000","182.81배  l  5,060원","155.00배  l  5,955원","12.80배  l  72,259원",,107.03배,+0.01%,,,,,,,,,,
팜젠사이언스,9520.0,120.0,+1.28%,9510.0,9520.0,102651.0,971.0,83763.0,팜젠사이언스,004720,29,"1,401  억원",코스피 747위,14712933,500원  l  1주,14712933,230208,1.56%,N/A  l  N/A,"20,200  l  8,450","5.75배  l  1,657원",N/A  l  N/A,"1.36배  l  7,008원",,107.03배,+0.01%,,,,,,,,,,
JW생명과학,17500.0,200.0,+1.16%,17450.0,17500.0,21609.0,373.0,33212.0,JW생명과학,234080,30,"2,771  억원",코스피 529위,15834554,"2,500원  l  1주",15834554,566395,3.58%,N/A  l  N/A,"24,000  l  16,300",21.34배  l  820원,N/A  l  N/A,"2.11배  l  8,291원",2.86%,107.03배,+0.01%,,,,,,,,,,
대웅,36300.0,400.0,+1.11%,36300.0,36350.0,142993.0,5209.0,177945.0,대웅,003090,31,"2조  1,106  억원",코스피 149위,58141980,500원  l  1주,58141980,2252604,3.87%,N/A  l  N/A,"86,700  l  20,700","22.45배  l  1,617원",N/A  l  N/A,"2.23배  l  16,303원",0.28%,107.03배,+0.01%,,,,,,,,,,
유한양행,64300.0,700.0,+1.10%,64200.0,64300.0,262945.0,16779.0,350580.0,유한양행,000100,32,"4조  4,993  억원",코스피 74위,69972959,"1,000원  l  1주",69972959,12545166,17.93%,"4.00매수  l  83,250","81,000  l  55,118","46.76배  l  1,375원","42.00배  l  1,524원","2.23배  l  28,781원",0.59%,107.03배,+0.01%,,,,,,,,,,
노바렉스 *,46000.0,500.0,+1.10%,46000.0,46150.0,29150.0,1338.0,23283.0,노바렉스,194700,33,"4,142  억원",코스닥 239위,9003740,500원  l  1주,9003740,94115,1.05%,"4.00매수  l  56,833","50,700  l  35,800","15.84배  l  2,904원","14.00배  l  3,354원","2.90배  l  15,874원",0.65%,107.03배,+0.01%,,,,,,,,,,
유유제약2우B,24750.0,250.0,+1.02%,24750.0,24800.0,586.0,14.0,627.0,유유제약2우B,000227,34,81  억원,코스피 1489위,325560,"1,000원  l  1주",325560,144,0.04%,N/A  l  N/A,"59,000  l  13,315","1,375.00배  l  18원",N/A  l  N/A,"3.70배  l  6,698원",0.44%,107.03배,+0.01%,,,,,,,,,,
대웅제약,158000.0,1500.0,+0.96%,157500.0,158000.0,38376.0,6085.0,66868.0,대웅제약,069620,35,"1조  8,307  억원",코스피 160위,11586575,"2,500원  l  1주",11586575,793653,6.85%,"4.00매수  l  211,667","286,500  l  88,200",617.19배  l  256원,N/A  l  N/A,"3.21배  l  49,181원",0.38%,107.03배,+0.01%,,,,,,,,,,
대한뉴팜 *,10750.0,100.0,+0.94%,10750.0,10800.0,36488.0,388.0,46757.0,대한뉴팜,054670,36,"1,543  억원",코스닥 686위,14354920,500원  l  1주,14354920,0,0.00%,N/A  l  N/A,"14,000  l  10,200",N/A  l  -592원,N/A  l  N/A,"2.27배  l  4,728원",,107.03배,+0.01%,,,,,,,,,,
대봉엘에스 *,9950.0,90.0,+0.91%,9900.0,9950.0,15510.0,153.0,20163.0,대봉엘에스,078140,37,"1,103  억원",코스닥 911위,11086579,500원  l  1주,11086579,281708,2.54%,N/A  l  N/A,"13,000  l  9,210",20.95배  l  475원,N/A  l  N/A,"1.03배  l  9,685원",0.50%,107.03배,+0.01%,,,,,,,,,,
유유제약1우,11200.0,100.0,+0.90%,11150.0,11200.0,4717.0,52.0,13913.0,유유제약1우,000225,38,254  억원,코스피 1165위,2266930,"1,000원  l  1주",2266930,44675,1.97%,N/A  l  N/A,"27,200  l  4,925",622.22배  l  18원,N/A  l  N/A,"1.67배  l  6,698원",0.98%,107.03배,+0.01%,,,,,,,,,,
일양약품,34300.0,300.0,+0.88%,33900.0,34300.0,78673.0,2679.0,131922.0,일양약품,007570,39,"6,546  억원",코스피 312위,19085664,"2,500원  l  1주",19085664,1830776,9.59%,N/A  l  N/A,"90,300  l  30,150",76.73배  l  447원,N/A  l  N/A,"3.04배  l  11,273원",0.35%,107.03배,+0.01%,,,,,,,,,,
티움바이오 *,20100.0,150.0,+0.75%,20100.0,20200.0,73512.0,1480.0,82980.0,티움바이오,321550,40,"4,788  억원",코스닥 196위,23821926,500원  l  1주,23821926,29758,0.12%,N/A  l  N/A,"29,650  l  14,250",N/A  l  -848원,N/A  l  N/A,"6.80배  l  2,956원",,107.03배,+0.01%,,,,,,,,,,
휴럼 *,2160.0,15.0,+0.70%,2160.0,2165.0,128329.0,274.0,143548.0,휴럼,353190,41,787  억원,코스닥 1150위,36440420,100원  l  1주,36440420,139795,0.38%,N/A  l  N/A,"4,135  l  1,905",,N/A  l  N/A,,,133.51배,+0.01%,,32.24배  l  67원,N/A  l  N/A,,,,,,,
디에이치피코리아 *,7310.0,50.0,+0.69%,7310.0,7320.0,38398.0,279.0,57163.0,디에이치피코리아,131030,42,"1,211  억원",코스닥 841위,16564797,500원  l  1주,16564797,844138,5.10%,N/A  l  N/A,"9,450  l  6,910",13.54배  l  540원,N/A  l  N/A,"0.97배  l  7,517원",1.37%,107.03배,+0.01%,,,,,,,,,,
일성신약,80100.0,500.0,+0.63%,79900.0,80100.0,1135.0,90.0,2851.0,일성신약,003120,43,"2,131  억원",코스피 611위,2660000,"5,000원  l  1주",2660000,64940,2.44%,N/A  l  N/A,"102,000  l  76,100","N/A  l  -1,072원",N/A  l  N/A,"0.36배  l  222,936원",0.94%,107.03배,+0.01%,,,,,,,,,,
일양약품우,33900.0,200.0,+0.59%,33800.0,33900.0,467.0,15.0,415.0,일양약품우,007575,44,151  억원,코스피 1281위,445080,"2,500원  l  1주",445080,2090,0.47%,N/A  l  N/A,"141,000  l  29,900",75.84배  l  447원,N/A  l  N/A,"3.01배  l  11,273원",0.43%,107.03배,+0.01%,,,,,,,,,,
삼진제약,26300.0,150.0,+0.57%,26250.0,26300.0,28853.0,754.0,72238.0,삼진제약,005500,45,"3,656  억원",코스피 449위,13900000,"1,000원  l  1주",13900000,1860749,13.39%,N/A  l  N/A,"31,800  l  23,300","13.86배  l  1,897원",N/A  l  N/A,"1.48배  l  17,770원",3.04%,107.03배,+0.01%,,,,,,,,,,
JW중외제약,26950.0,150.0,+0.56%,26950.0,27000.0,75846.0,2030.0,349434.0,JW중외제약,001060,46,"5,805  억원",코스피 335위,21539926,"2,500원  l  1주",21539926,1222265,5.67%,N/A  l  N/A,"42,639  l  25,850",N/A  l  -146원,N/A  l  N/A,"3.03배  l  8,886원",1.17%,107.03배,+0.01%,,,,,,,,,,
영진약품,5400.0,30.0,+0.56%,5390.0,5400.0,377560.0,2049.0,560160.0,영진약품,003520,47,"9,876  억원",코스피 243위,182892731,500원  l  1주,182892731,7886066,4.31%,N/A  l  N/A,"10,400  l  4,910",N/A  l  -48원,N/A  l  N/A,9.11배  l  593원,,107.03배,+0.01%,,,,,,,,,,
